Fecha,USD_CAD,USD_AUD
2021-06-02,1.2035,1.2901
2021-06-01,1.2071,1.2898
2021-05-31,1.2064,1.293
2021-05-28,1.2076,1.2963
2021-05-27,1.2066,1.2915
2021-05-26,1.2123,1.2915
2021-05-25,1.2067,1.2897
2021-05-24,1.2044,1.2898
2021-05-21,1.2066,1.2938
2021-05-20,1.2061,1.2861
2021-05-19,1.2133,1.2942
2021-05-18,1.2066,1.2837
2021-05-17,1.2068,1.2874
2021-05-14,1.2104,1.2849
2021-05-13,1.2162,1.2938
2021-05-12,1.2134,1.2945
2021-05-11,1.2102,1.2755
2021-05-10,1.2102,1.2772
2021-05-07,1.2133,1.2749
2021-05-06,1.2149,1.2845
2021-05-05,1.2267,1.2907
2021-05-04,1.2309,1.2971
2021-05-03,1.2279,1.2884
2021-04-30,1.2287,1.2966
2021-04-29,1.2283,1.2878
2021-04-28,1.2314,1.2835
2021-04-27,1.2399,1.2875
2021-04-26,1.2398,1.2821
2021-04-23,1.2476,1.2909
2021-04-22,1.2507,1.2975
2021-04-21,1.2497,1.2897
2021-04-20,1.2609,1.2947
2021-04-19,1.2535,1.289
2021-04-16,1.2508,1.2928
2021-04-15,1.2543,1.2901
2021-04-14,1.2521,1.2948
2021-04-13,1.2535,1.3082
2021-04-12,1.2563,1.3117
2021-04-09,1.253,1.3125
2021-04-08,1.2562,1.3066
2021-04-07,1.2609,1.3137
2021-04-06,1.2566,1.3049
